City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vaini,-21.2,-175.2,26.09,78,20,1.54,TO,1682373054
84,rosario,-32.9468,-60.6393,20.14,82,0,1.54,AR,1682372809
85,henties bay,-22.116,14.2845,18.45,73,2,2.45,NA,1682373055
86,new norfolk,-42.7826,147.0587,13.17,87,100,0.45,AU,1682372999
87,kangaatsiaq,68.3065,-53.4641,-0.36,95,93,2.66,GL,1682373055
88,baykit,61.67,96.37,2.06,99,100,1.38,RU,1682373055
89,laerdalsoyri,61.098,7.4816,5.18,64,100,4.12,NO,1682373055
90,sola,-13.8833,167.55,26.37,94,75,2.06,VU,1682373056
91,mattru,7.6244,-11.8332,27.04,83,73,1.9,SL,1682373056
92,castro,-24.7911,-50.0119,14.74,82,4,2.12,BR,1682373056
93,hobart,-42.8794,147.3294,13.36,79,75,3.6,AU,1682373014
94,brandon,27.9378,-82.2859,26.06,75,75,3.09,US,1682372907
95,clyde river,70.4692,-68.5914,-4.87,93,75,7.72,CA,1682373057
96,newport,51.5877,-2.9984,7.05,89,76,4.17,GB,1682372948
97,vidim,56.4088,103.1106,-4.35,91,46,1.5,RU,1682373057
98,juneau,58.3019,-134.4197,6.34,81,75,10.29,US,1682372878
99,oranjemund,-28.55,16.4333,15.97,98,79,2.85,NA,1682373058
100,banda aceh,5.5577,95.3222,26.68,80,100,2.77,ID,1682373058
101,kapaa,22.0752,-159.319,25.99,86,100,5.66,US,1682373058
102,port-gentil,-0.7193,8.7815,27.98,83,75,1.54,GA,1682373058
103,constitucion,-35.3333,-72.4167,12.95,87,13,4.21,CL,1682373009
104,sayyan,15.1718,44.3244,16.23,59,61,0.69,YE,1682373059
105,butaritari,3.0707,172.7902,28.3,78,71,7.1,KI,1682373059
106,palu,-0.8917,119.8707,24.01,95,40,1.44,ID,1682373059
107,hamilton,39.1834,-84.5333,11.91,42,100,5.14,US,1682372752
108,chuy,-33.6971,-53.4616,19.24,91,80,4.62,UY,1682373019
109,akdepe,42.0551,59.3788,20.05,25,31,7.76,TM,1682373060
110,vardo,70.3705,31.1107,-2.01,74,100,8.23,NO,1682373060
111,puerto ayora,-0.7393,-90.3518,29.98,86,94,3.58,EC,1682373060
112,kodiak,57.79,-152.4072,5.73,49,0,5.14,US,1682373061
113,avarua,-21.2078,-159.775,27.03,65,20,7.2,CK,1682373061
114,bredasdorp,-34.5322,20.0403,15.27,81,1,2.78,ZA,1682373061
115,nome,64.5011,-165.4064,-3.8,54,0,8.23,US,1682372536
116,bethel,41.3712,-73.414,15.02,38,75,3.09,US,1682372981
117,port elizabeth,-33.918,25.5701,20.05,88,100,4.12,ZA,1682372518
118,roblin,51.23,-101.3565,6.18,47,53,3.64,CA,1682373063
119,necochea,-38.5473,-58.7368,16.43,78,19,4.19,AR,1682373063
120,dzhebariki-khaya,62.2167,135.8,-4.02,91,100,1.16,RU,1682373063
121,veraval,20.9,70.3667,26.47,64,28,5.49,IN,1682373064
122,pevek,69.7008,170.3133,-5.68,72,5,1.76,RU,1682373064
123,fortuna,40.5982,-124.1573,15.52,67,95,4.02,US,1682373064
124,tessalit,20.1986,1.0114,28.88,12,0,2.52,ML,1682373065
125,loreto,22.2667,-101.9667,27.84,6,40,9.21,MX,1682373066
126,saskylakh,71.9167,114.0833,-18.34,100,100,0.35,RU,1682373067
127,kotido,2.9806,34.1331,21.39,76,71,0.96,UG,1682373068
128,bubaque,11.2833,-15.8333,25.78,70,23,6.89,GW,1682373069
129,vanimo,-2.6741,141.3028,26.34,88,93,1.67,PG,1682373069
130,sorland,67.667,12.6934,1.92,57,0,5.11,NO,1682373069
131,ancud,-41.8697,-73.8203,11.97,87,99,5.43,CL,1682373070
132,yanji,42.9075,129.5078,6.36,33,100,0.89,CN,1682373070
133,khatanga,71.9667,102.5,-10.19,93,7,3.68,RU,1682373071
134,lebu,-37.6167,-73.65,12.83,83,48,1.94,CL,1682373071
135,dalbandin,28.8947,64.4101,25.02,23,100,3.8,PK,1682373071
136,isoka,-10.1606,32.6335,15.94,98,10,0.37,ZM,1682373072
137,college,64.8569,-147.8028,-5.51,51,75,5.14,US,1682372807
138,yulara,-25.2406,130.9889,17.26,45,29,3.85,AU,1682373073
139,krasnyy yar,46.5331,48.3456,13.96,39,100,9.2,RU,1682373073
140,saint-philippe,-21.3585,55.7679,25.77,78,40,3.99,RE,1682372982
141,grand gaube,-20.0064,57.6608,25.21,82,32,3.1,MU,1682373074
142,beniganj,27.2833,80.45,22.11,44,5,2.95,IN,1682373074
143,methoni,36.8197,21.7049,16.23,82,0,2.56,GR,1682373074
144,rongcheng,30.634,117.8517,11.19,94,100,1.02,CN,1682373075
145,doba,8.65,16.85,28.7,52,59,2.19,TD,1682373075
146,qaanaaq,77.484,-69.3632,-6.66,85,100,0.87,GL,1682373075
147,ternovka,51.678,41.6375,11.5,82,100,4.23,RU,1682373076
148,tasiilaq,65.6145,-37.6368,0.09,89,75,2.17,GL,1682373076
149,hami,42.8,93.45,12.78,18,6,1.36,CN,1682372914
150,jaffna,9.6685,80.0074,27.62,84,100,4.48,LK,1682373076
151,mount gambier,-37.8333,140.7667,14.2,73,74,2.96,AU,1682373049
152,hithadhoo,-0.6,73.0833,28.98,75,99,3.95,MV,1682373078
153,bambous virieux,-20.3428,57.7575,25.12,94,20,1.03,MU,1682373078
154,pingxiang,27.6167,113.85,10.06,98,100,2.2,CN,1682373079
155,san antonio,29.4241,-98.4936,22.4,66,100,3.09,US,1682372243
156,ust-tsilma,65.441,52.1498,-0.95,97,100,3.21,RU,1682373079
157,marquette,46.5333,-87.6335,4.58,74,99,2.24,US,1682373080
158,tabou,4.423,-7.3528,27.25,86,100,2.74,CI,1682373080
159,fort nelson,58.8053,-122.7002,2.19,58,100,2.57,CA,1682373081
160,codrington,-38.2667,141.9667,15.03,76,32,4.41,AU,1682373081
161,bengkulu,-3.8004,102.2655,24.42,89,98,2.04,ID,1682373081
162,ciudad bolivar,8.1222,-63.5497,32.52,48,81,1.66,VE,1682373082
163,bowen,-20.0167,148.2333,25.06,68,91,9.22,AU,1682373082
164,tianpeng,30.9866,103.9393,11.26,93,100,0.48,CN,1682373083
165,tarrafal,15.2833,-23.7667,23.44,78,0,5.87,CV,1682373083
166,boende,-0.2167,20.8667,21.43,85,99,1.04,CD,1682373083
167,katobu,-4.9408,122.5276,24.09,95,74,1.25,ID,1682373083
168,vestmannaeyjar,63.4427,-20.2734,4.93,63,100,6.97,IS,1682372890
169,innisfail,-17.5333,146.0333,22.88,88,88,4.99,AU,1682373084
170,namatanai,-3.6667,152.4333,28.06,72,67,2.33,PG,1682373085
171,alice springs,-23.7,133.8833,9.75,93,0,3.12,AU,1682373085
172,jishou,28.3167,109.7167,9.39,98,100,0.52,CN,1682373086
173,aripuana,-9.1667,-60.6333,24.33,91,95,0.25,BR,1682373086
174,palmer,42.1584,-72.3287,14.26,49,75,2.57,US,1682372840
175,pozo colorado,-23.4923,-58.7972,21.46,76,93,2.57,PY,1682373087
176,constantine,36.365,6.6147,15.67,58,20,0.0,DZ,1682373088
177,yaan,7.3833,8.5667,28.47,60,99,1.1,NG,1682373088
178,georgetown,5.4112,100.3354,25.96,94,20,2.06,MY,1682373040
179,porbandar,21.6422,69.6093,26.07,68,12,4.62,IN,1682373089
180,marsa matruh,31.3525,27.2453,18.11,77,0,3.09,EG,1682373089
181,portobelo,9.55,-79.65,28.39,74,93,3.68,PA,1682373089
182,eenhana,-17.4667,16.3333,23.46,58,96,1.8,NA,1682373090
183,alta floresta,-9.8756,-56.0861,23.85,90,64,1.87,BR,1682373090
184,pandan,14.0453,124.1694,25.76,77,43,3.69,PH,1682373090
185,oktyabrskiy,54.4815,53.471,10.95,58,4,2.52,RU,1682373091
186,maniitsoq,65.4167,-52.9,1.79,88,100,2.69,GL,1682373091
187,locri,38.2414,16.2623,15.73,82,17,4.22,IT,1682373091
188,hirtshals,57.5881,9.9592,7.72,97,98,5.41,DK,1682373092
189,komsomolskiy,40.4272,71.7189,17.4,42,23,1.03,UZ,1682373092
190,aguimes,27.9054,-15.4461,18.35,68,20,8.23,ES,1682373092
191,salvador,13.8333,-88.9167,29.02,50,96,3.73,SV,1682373093
192,ahipara,-35.1667,173.1667,17.59,57,28,5.01,NZ,1682373093
193,virginia beach,36.8529,-75.978,17.23,54,40,2.57,US,1682372873
194,madimba,-10.4,40.3333,25.62,94,20,5.14,TZ,1682373094
195,victoria,22.2855,114.1577,24.03,93,95,5.81,HK,1682373006
196,sisimiut,66.9395,-53.6735,1.34,95,100,1.81,GL,1682373095
197,chokurdakh,70.6333,147.9167,-6.77,88,5,3.22,RU,1682373095
198,san onofre,9.7359,-75.5263,28.29,62,39,4.59,CO,1682373095
199,aklavik,68.2191,-135.0107,-14.37,78,100,2.87,CA,1682373096
200,viedma,-40.8135,-62.9967,19.52,36,0,4.78,AR,1682372699
201,teya,60.3778,92.6267,-0.1,98,100,1.5,RU,1682373097
202,broome,42.2506,-75.833,11.16,63,100,3.09,US,1682373097
203,daru,-9.0763,143.2092,26.96,88,100,5.72,PG,1682373097
204,ahar,38.4774,47.0699,12.73,82,100,2.69,IR,1682373098
205,sinnamary,5.3833,-52.95,24.4,91,100,4.15,GF,1682373098
206,los llanos de aridane,28.6585,-17.9182,17.86,90,40,4.63,ES,1682373098
207,anadyr,64.75,177.4833,-6.72,63,0,1.0,RU,1682373099
208,santa cruz,-17.8,-63.1667,29.03,58,20,4.12,BO,1682373099
209,vila franca do campo,37.7167,-25.4333,17.23,96,94,3.65,PT,1682373099
210,mimongo,-1.6195,11.6068,21.25,98,81,0.24,GA,1682373099
211,hirara,24.8,125.2833,23.15,83,100,2.06,JP,1682373100
212,berlevag,70.8578,29.0864,0.0,64,100,11.32,NO,1682373100
213,te anau,-45.4167,167.7167,10.79,88,100,3.41,NZ,1682373100
214,esperance,-33.8667,121.9,15.01,73,70,4.21,AU,1682373100
215,quelimane,-17.8786,36.8883,23.97,88,0,0.0,MZ,1682373100
216,chokwe,-24.5333,32.9833,20.13,80,82,2.55,MZ,1682373101
217,farafangana,-22.8167,47.8333,22.34,82,0,3.73,MG,1682373101
218,mizdah,31.4451,12.9801,19.29,21,84,2.38,LY,1682373101
219,fairbanks,64.8378,-147.7164,-4.95,51,75,5.14,US,1682373057
220,ginir,7.1333,40.7,14.97,84,56,1.99,ET,1682373102
221,ugoofaaru,5.6667,73.0,29.09,67,100,2.2,MV,1682373102
222,paita,-5.0892,-81.1144,26.37,76,92,4.04,PE,1682373102
223,kologriv,58.8275,44.3178,9.98,66,13,2.34,RU,1682373102
224,yatou,37.15,122.3833,8.77,36,100,1.77,CN,1682373102
225,bambanglipuro,-7.95,110.2833,24.42,91,86,2.03,ID,1682373103
226,husavik,66.0449,-17.3389,-1.68,62,81,2.77,IS,1682373103
227,cap malheureux,-19.9842,57.6142,25.26,82,32,3.14,MU,1682373103
228,jian,27.1172,114.9793,12.35,92,100,1.98,CN,1682373031
229,morwell,-38.2333,146.4,16.89,86,1,0.28,AU,1682373103
230,kapoeta,4.7717,33.5903,25.84,63,60,2.22,SS,1682373104
231,fonte boa,-2.4959,-66.2662,21.58,99,100,1.14,BR,1682373104
232,jalu,29.0331,21.5482,23.96,33,100,4.58,LY,1682373104
233,bar harbor,44.3876,-68.2039,6.62,81,100,3.6,US,1682373104
234,vila,42.0304,-8.1588,9.83,97,89,0.95,PT,1682373104
235,nouadhibou,20.931,-17.0347,18.99,88,0,9.26,MR,1682373105
236,roald,62.5833,6.1333,3.28,80,75,9.77,NO,1682373105
237,padang,-0.9492,100.3543,26.03,92,100,2.39,ID,1682373105
238,iqaluit,63.7506,-68.5145,0.85,93,100,4.12,CA,1682373105
239,east london,-33.0153,27.9116,20.99,90,100,4.71,ZA,1682373105
240,batagay-alyta,67.8006,130.4114,-7.29,88,100,5.87,RU,1682373105
241,cabatuan,10.8794,122.486,24.78,87,10,3.92,PH,1682373106
242,baoding,38.8511,115.4903,5.37,95,56,2.37,CN,1682373106
243,camacupa,-12.0167,17.4833,17.69,87,63,0.27,AO,1682373106
244,marawi,7.9986,124.2928,20.66,95,46,0.58,PH,1682373106
245,sumbawanga,-7.9667,31.6167,14.27,94,100,0.48,TZ,1682373106
246,nikolskoye,59.7035,30.7861,12.11,77,71,1.82,RU,1682373107
247,hovd,48.0056,91.6419,5.68,32,80,3.13,MN,1682373107
248,dingle,10.9995,122.6711,24.63,90,11,2.66,PH,1682373107
249,beyneu,45.3167,55.2,18.0,35,55,10.5,KZ,1682373108
250,sabang,5.8933,95.3214,29.2,74,100,5.53,ID,1682373108
251,khani,41.9563,42.9566,5.76,99,100,1.35,GE,1682373108
252,vangaindrano,-23.35,47.6,21.27,83,0,2.51,MG,1682373108
253,vila velha,-20.3297,-40.2925,24.97,84,0,3.6,BR,1682373101
254,suntar,62.1444,117.6319,-8.8,94,96,1.25,RU,1682373109
255,lashio,22.9333,97.75,18.31,68,5,0.91,MM,1682373109
256,sumenep,-7.0167,113.8667,25.97,83,97,3.06,ID,1682373109
257,ostrovnoy,68.0531,39.5131,-8.94,91,67,4.84,RU,1682373109
258,turan,16.0678,108.2208,25.99,94,40,1.03,VN,1682373109
259,thompson,55.7435,-97.8558,5.09,38,20,2.57,CA,1682373109
260,long beach,33.767,-118.1892,25.49,73,75,5.66,US,1682373110
261,siocon,7.7061,122.1353,26.32,85,58,2.27,PH,1682373110
262,san jose,37.3394,-121.895,26.29,38,0,6.69,US,1682372490
263,ylivieska,64.0833,24.55,0.18,98,100,2.23,FI,1682373110
264,valparaiso,-33.0393,-71.6273,17.13,73,0,5.14,CL,1682372868
265,bavaniste,44.8189,20.8758,14.5,89,100,3.7,RS,1682373111
266,yantai,37.5333,121.4,9.91,30,100,2.47,CN,1682373111
267,puerto escondido,15.85,-97.0667,31.46,58,20,3.6,MX,1682372844
268,mayo,38.8876,-76.5119,16.3,36,75,3.09,US,1682373111
269,yakuplu,40.9889,28.6758,12.64,67,0,2.06,TR,1682373111
270,fujimi,35.8578,139.5577,13.34,51,96,1.91,JP,1682373112
271,townsville,-19.25,146.8,23.49,73,75,6.17,AU,1682373112
272,okhotsk,59.3833,143.3,-1.21,79,100,3.95,RU,1682373112
273,igunga,-4.2833,33.8833,19.58,91,100,1.82,TZ,1682373112
274,solnechnyy,50.7214,136.6319,2.82,47,4,2.3,RU,1682373113
275,tezu,27.9167,96.1667,19.64,64,30,1.85,IN,1682373113
276,omis,43.4447,16.6886,13.96,91,97,1.07,HR,1682373113
277,urumqi,43.801,87.6005,11.53,33,0,3.0,CN,1682373113
278,iralaya,15.0,-83.2333,28.12,67,23,5.98,HN,1682373113
279,mercedes,-34.6515,-59.4307,20.44,57,100,3.11,AR,1682373114
280,port lincoln,-34.7333,135.8667,18.57,55,62,2.99,AU,1682373034
281,nantucket,41.2835,-70.0995,11.16,88,100,2.06,US,1682373029
282,kahului,20.8947,-156.47,27.01,57,75,3.6,US,1682372991
283,oudtshoorn,-33.5907,22.2014,16.2,91,85,1.92,ZA,1682373114
284,lompoc,34.6391,-120.4579,24.27,65,20,8.23,US,1682373031
285,brae,60.3964,-1.353,3.16,59,100,9.75,GB,1682373115
286,isilkul,54.9109,71.2728,4.55,44,82,2.26,RU,1682373115
287,bitkine,11.9801,18.2138,29.32,48,100,2.46,TD,1682373115
288,camabatela,-8.1881,15.375,18.1,90,34,1.94,AO,1682373115
289,hasaki,35.7333,140.8333,11.27,51,47,5.39,JP,1682373115
290,santa vitoria do palmar,-33.5189,-53.3681,19.4,91,78,4.49,BR,1682373116
291,talnakh,69.4865,88.3972,1.23,77,84,3.98,RU,1682373116
292,catamarca,-28.4696,-65.7852,20.59,62,32,0.45,AR,1682373116
293,malanje,-9.5402,16.341,18.33,94,45,1.03,AO,1682373116
294,saint anthony,45.0205,-93.218,9.32,46,75,3.09,US,1682373116
295,annau,37.8876,58.516,21.72,26,8,4.12,TM,1682373117
296,ust-kuyga,70.0167,135.6,-6.82,91,96,3.05,RU,1682373117
297,honningsvag,70.9821,25.9704,-0.14,59,75,5.66,NO,1682373117
298,columbus,39.9612,-82.9988,9.49,46,100,5.66,US,1682373117
299,murovani kurylivtsi,48.7235,27.5189,9.68,78,22,5.27,UA,1682373117
300,boshnyakovo,49.6333,142.1667,0.22,89,99,1.18,RU,1682373118
301,acapulco,16.8634,-99.8901,29.14,63,99,4.24,MX,1682373118
302,avera,33.194,-82.5271,21.03,47,99,1.53,US,1682373118
303,gat,31.61,34.7642,16.56,76,19,0.97,IL,1682373118
304,sao raimundo nonato,-9.0153,-42.6994,26.04,42,60,2.28,BR,1682372935
305,kuppam,12.75,78.3667,24.16,76,98,2.26,IN,1682373118
306,rio claro,-22.4114,-47.5614,18.27,75,0,0.9,BR,1682373078
307,luanda,-8.8368,13.2343,27.0,89,40,2.06,AO,1682373119
308,arlit,18.7369,7.3853,29.93,13,0,4.46,NE,1682373119
309,sao joao da barra,-21.6403,-41.0511,23.05,79,65,3.55,BR,1682373119
310,cairns,-16.9167,145.7667,25.59,97,40,4.12,AU,1682372857
311,santiago del estero,-27.7951,-64.2615,15.73,91,66,0.76,AR,1682373085
312,pisco,-13.7,-76.2167,26.03,65,0,10.8,PE,1682373089
313,soddy-daisy,35.2359,-85.1908,18.82,36,15,4.15,US,1682373120
314,twentynine palms,34.1356,-116.0542,31.74,14,0,1.34,US,1682373120
315,adrar,20.5022,-10.0711,28.29,13,0,3.53,MR,1682373121
316,ginda,30.6945,78.4932,9.29,47,39,2.91,IN,1682373121
317,moree,-29.4667,149.85,17.49,64,0,5.12,AU,1682373121
318,adeje,28.1227,-16.726,19.22,89,20,3.09,ES,1682373121
319,mogadishu,2.0371,45.3438,28.31,76,92,6.08,SO,1682373122
320,san patricio,28.017,-97.5169,23.98,69,55,4.72,US,1682373012
321,narsaq,60.9167,-46.05,5.12,86,26,2.52,GL,1682373123
322,sulangan,11.1373,123.7228,27.79,79,97,8.05,PH,1682373123
323,los algarrobos,8.5,-82.4333,31.23,55,20,4.63,PA,1682373125
324,qujing,25.4833,103.7833,11.02,82,6,2.95,CN,1682373125
325,mahanoro,-19.9,48.8,23.6,91,4,2.02,MG,1682373126
326,ulaangom,49.9811,92.0667,3.25,36,100,0.79,MN,1682373126
